bir,12957
ve,7911
bu,5168
de,4728
da,3829
kadar,2729
için,2624
o,1981
daha,1780
ne,1650
en,1643
gibi,1584
Türk,1520
kendi,1467
Bu,1467
bile,1460
Türkiye,1376
çok,1251
bütün,1223
ki,1199
olarak,1190
her,1051
a,1016
i,992
hiç,969
ya,946
karşı,938
böyle,928
ile,909
Demokrat,883
P,865
olan,813
başka,805
e,801
değil,799
yeni,796
olduğu,795
iktidar,789
nin,778
büyük,772
Fakat,761
•,734
veya,698
sonra,693
Parti,670
in,669
ancak,664
—,653
bazı,627
son,624
içinde,612
»,604
zaman,590
önce,585
göre,573
Amerika,567
Bülent,556
Bir,546
C,538
devlet,525
ise,502
1,496
arasında,491
artık,484
diye,479
nın,470
D,466
gün,465
muhalefet,464
olsa,452
Menderes,451
iki,444
ye,442
memleket,433
demokratik,431
H,424
olduğunu,423
den,423
ECEVİT,414
belki,412
Meclis,408
O,404
yıl,399
İçin,398
ı,396
Çünkü,387
Bay,387
Cumhuriyet,387
hattâ,386
dan,385
Ama,382
bugün,382
Batı,374
ta,374
■,366
demokrasi,366
ka,361
yalnız,355
ileri,354
şimdi,347
dış,340
hem,340
insan,339
pek,332
yer,331
nasıl,331
olsun,328
tek,326
biri,323
İngiltere,318
altında,318
le,317
etmek,315
gerek,312
mi,310
eden,308
m,304
B,303
iyi,300
vardır,296
gene,296
siyaset,296
Ortadoğu,294
Başbakan,291
parti,290
rağmen,289
birkaç,288
değildir,285
siyasal,285
Arap,282
geniş,281
r,280
az,275
ortaya,274
partisi,273
ın,272
kendini,270
Millet,270
kabul,269
ha,269
n,269
millet,268
karşısında,268
İngiliz,266
hürriyet,266
A,266
yol,265
ağır,265
halk,265
türlü,264
şey,264
Halk,263
idare,261
yabancı,261
hak,259
re,259
Büyük,256
Ankara,256
I,253
günü,252
te,250
söz,250
ilk,250
büsbütün,248
memlekette,248
beraber,247
siyasi,247
öyle,247
deki,245
an,245
gerçek,244
u,244
Kanada,244
bizim,243
daki,242
yoktur,241
birçok,240
henüz,239
açık,239
di,238
üzerinde,236
baş,236
hakkında,235
Oysa,235
mı,235
çıkan,233
doğru,232
halkın,231
Onun,230
küçük,227
ama,226
birer,225
hemen,224
devam,223
Eğer,222
bağlı,222
iş,222
gazete,221
Mr,221
var,219
basın,219
5,219
İktidar,219
bîr,217
t,215
yerine,215
tarafından,213
dar,213
Devlet,213
dünya,211
halde,211
yi,210
bulunan,209
M,209
lan,208
eski,208
durumda,207
idi,206
nun,206
geri,205
verdiği,204
bn,203
iktidarı,202
İstanbul,200
dair,200
İnönü,198
NATO,198
ba,198
yahut,197
aynı,195
ay,194
3,193
halkı,193
Genel,193
Amerikan,193
la,192
hâlâ,191
Böyle,191
bugünkü,190
yeniden,189
bakımından,189
bundan,189
yok,188
üzerine,188
Avrupa,187
biraz,187
genç,186
ilgili,184
hakkı,184
un,183
milletin,182
hür,181
sadece,180
sa,178
olacaktır,178
biz,178
ettiği,177
üzere,177
şekilde,177
toplum,177
Partisi,177
ken,176
haline,176
ge,176
olur,176
bize,175
elbette,175
memleketin,175
Atatürk,174
ü,173
yandan,172
sözcüsü,172
üstünde,172
İsrail,172
baskı,171
b,171
arasındaki,171
ni,170
iç,169
ortadan,169
yani,169
ma,168
olması,167
hükümet,167
iktidarın,166
halkının,166
herhalde,166
şu,165
bunu,164
dışında,164
şöyle,164
gerektir,163
etmiş,163
kendine,162
değilse,162
sosyal,162
hürriyeti,161
2,161
fakat,161
bi,161
bunun,161
7,160
kanun,160
buna,160
kuvvet,159
olmak,158
oldu,158
kendilerine,158
bulunduğu,157
Birleşik,156
ölçüde,156
4,156
si,155
olursa,155
başlıca,154
değer,154
Hükümet,154
partisinin,153
6,153
beri,152
Birleşmiş,152
oy,152
ol,152
kendilerini,151
hiçbir,151
resmî,151
hale,150
onun,150
çin,150
gelen,150
Bağdat,150
Ancak,149
duruma,149
iktidara,148
yakın,148
Şimdi,147
Sovyet,145
hareket,145
gerçekten,145
başında,144
na,143
sırasında,143
gerekli,142
kendisine,142
vatandaş,142
Hele,142
Bugün,141
ler,141
hayat,141
arada,141
olduğuna,140
lar,140
d,139
millî,139
fazla,139
Batılı,138
iktidarının,138
Partinin,138
milleti,137
zorunda,137
kimse,136
herhangi,136
olmuştur,135
«,135
gelmiş,135
yüksek,135
seçim,135
şüphe,134
se,134
yüzünden,133
vermiş,132
üniversite,132
hu,131
yerde,131
yapılan,131
memlekete,131
yolda,131
Dünya,131
S,130
iktisadî,130
mücadele,130
altına,129
sebep,129
iktisadi,129
yaptığı,129
s,129
mu,128
kötü,128
demektir,128
yüzden,128
Nitekim,127
imkân,127
partinin,127
nün,126
engel,126
Gerçi,126
ister,125
insanlar,125
l,124
ekonomik,124
yıllık,124
adalet,124
Osmanlı,123
ün,123
Zafer,122
ECEVÎT,122
hizmet,122
gerekir,121
Anayasa,120
şüphesiz,120
defa,120
özel,120
şartlar,119
geçen,119
hele,119
uzun,119
kalmış,119
edecek,119
radyo,119
 ,118
sorumlu,118
demokrasinin,118
muhalefetin,118
Sa,118
ti,117
bizzat,117
Bakanı,117
8,117
kolay,117
ten,116
tam,116
göz,116
boyunca,116
dursun,116
uygun,115
Başbakanın,115
olmuş,115
oldukları,115
tedbirler,115
zaten,114
Sayın,114
memleketi,114
onların,114
hal,114
meselâ,114
onu,114
Her,114
Dışişleri,114
önünde,113
olabilir,113
Adnan,113
mümkün,113
hangi,113
kendisini,113
dır,113
göze,113
Mecliste,113
din,112
bakımdan,112
durum,112
kısa,112
hükümetin,112
leri,112
askerî,112
Meclisi,112
Bütün,111
ona,111
me,111
mü,111
yolunda,111
Kıbrıs,111
çıkmış,110
rejim,110
saygı,110
eğer,110
ilân,110
yardım,109
haber,109
güne,109
mil,109
kendisi,109
1950,109
ö,108
tehlikeli,108
sırada,108
Gaziantep,108
üstüne,108
cevap,108
olmadığı,108
karsı,108
başına,108
sanki,107
Fransa,107
k,107
sonunda,107
Anadolu,106
ihtiyaç,106
doğruya,106
sanat,106
tan,106
yoksun,106
mak,106
uğrunda,106
yana,106
komünist,105
Londra,105
onlar,105
Ürdün,105
İşte,105
umut,104
ra,104
güç,103
İçinde,103
hâkim,103
mesele,102
et,102
sona,102
insanların,102
çoğu,102
muhalif,101
vardı,101
Milletler,101
olmayan,101
sık,101
düşünce,101
inci,101
elde,100
uzak,100
Ne,100
bizi,100
konusunda,99
yerinde,99
Biz,99
durumu,99
el,99
gitgide,99
li,99
vakit,99
mek,99
yan,98
meselesi,98
dünyanın,98
dün,98
günden,98
j,98
muhalefete,97
eder,97
Gene,97
sı,97
polis,96
iktidarda,96
örnek,96
partili,96
doğrudan,96
gö,96
Kurtuluş,96
olmalıdır,95
suç,95
edilen,95
meseleleri,95
almak,95
zamanda,94
olmaktan,94
kim,94
onlara,94
karar,94
yolu,93
Baş,93
kesin,93
be,93
hesap,93
kaç,93
veren,93
ko,93
açıkça,93
sırf,93
içine,93
Buna,92
İle,92
İki,92
ibaret,92
şimdiye,92
köy,92
milletinin,91
kere,91
vermek,91
yüz,91
olacak,91
sözleri,91
Meselâ,91
milletvekilleri,91
resmi,91
yüzde,90
olup,90
konuda,90
belli,90
gücü,90
memleketlerde,90
yı,89
neden,89
Daha,89
haklı,89
kar,89
ikinci,89
10,89
sağlam,89
buçuk,89
meşru,89
etmeğe,89
Son,88
olmasa,88
temsil,88
adamı,88
teşkil,88
dost,88
kimsenin,88
asıl,88
bü,88
Hükümetinin,88
kültür,88
ahlâk,87
eğitim,87
halka,87
Doğu,87
Asya,87
meydana,87
olmaktadır,86
istediği,86
kuvvetli,86
ön,86
Hükümeti,86
iddia,86
resim,86
şart,86
Fransız,85
gereken,85
insanın,85
ri,85
MASS,85
Ve,85
gelmiştir,85
çoğunluğu,85
tarafsız,84
kanunlar,84
v,84
fikir,84
tabiî,84
Rusya,84
acı,84
çalışan,84
partileri,84
günlerde,84
önemli,84
du,84
derece,84
ortada,83
devletin,83
başlıklı,83
vatan,83
İnsan,83
Kuzey,83
Paktı,83
sözü,83
Sonu,83
yük,82
üç,82
kalan,82
Grupu,82
gelir,82
kimseler,82
va,82
11,82
genel,81
hâle,81
Millî,81
adam,81
yüzyıl,81
ele,81
tir,81
men,81
para,81
midir,81
önceki,81
bilhassa,80
kaygı,80
demokrasiye,80
razı,80
dir,80
yazı,80
Partisinin,80
şehir,79
temel,79
üyesi,79
top,79
Suriye,79
açığa,79
miş,79
derecede,79
mal,79
milletvekili,79
gazeteler,78
ayrı,78
İkinci,78
hukuk,78
kal,78
olamaz,78
değerli,78
gazeteci,78
hava,78
Mısır,77
edip,77
bilim,77
yapmak,77
bunların,77
dev,77
lüzum,77
tutan,77
verilen,77
Bunun,77
T,77
güzel,77
konusu,77
elverişli,76
millete,76
mem,76
rol,76
tedbir,76
Hükümetin,76
su,76
birini,76
ifade,76
isteyen,75
Başkanı,75
şimdiden,75
tehlike,75
Üstelik,75
belirli,75
yıldır,75
aydın,75
görüş,75
hayal,75
onları,75
is,75
tır,75
hükümeti,75
kişi,75
üstelik,74
zor,74
edilmiş,74
yapan,74
ispat,74
kendileri,74
par,74
böylece,73
derin,73
üstün,73
Ba,73
Afrika,73
partilerinin,73
Basın,73
olmakla,73
can,73
Orta,73
Kendi,73
yaşama,73
çoğunluk,73
işte,73
gören,72
durumuna,72
cak,72
işçi,72
dedi,72
yazımızda,72
bağımsız,72
geç,72
ev,72
ders,72
politika,72
memleketimizde,71
er,71
tersine,71
vatandaşlar,71
demek,71
sorumluluk,71
menfaat,71
başta,71
güven,71
f,71
seçimler,71
kat,71
siyasî,71
E,71
ederek,70
memleketlerin,70
mış,70
idarenin,70
harb,70
ben,70
dünyaya,70
İse,70
teşebbüs,70
etme,70
bilir,70
almış,70
olmaz,70
za,69
yolunu,69
tarafı,69
yılda,69
niçin,69
çünkü,69
yolundaki,69
adım,69
sayısı,69
varsa,69
15,69
yakından,69
lı,69
müşterek,69
takım,68
tedbirleri,68
hoş,68
yurt,68
yoldan,68
yet,68
yollardan,68
mânevi,68
önem,68
imkânını,68
hazır,67
aldığı,67
Rojas,67
ondan,67
nı,67
bazan,67
maddî,67
yeter,67
diyor,67
aykırı,67
tarih,67
liderleri,67
ar,67
içindeki,67
yapmış,67
let,66
öne,66
dürüst,66
etmekle,66
yasak,66
etmiştir,66
hürriyetini,66
adına,66
idaresi,66
gazetenin,66
lerin,66
tenkid,66
yapılacak,66
hayata,66
Tür,66
yapmağa,65
teminat,65
toplantı,65
huzur,65
denetleme,65
im,65
sözler,65
milletler,65
ça,65
olmadığını,65
gizli,64
dört,64
partiler,64
dünyada,64
bil,64
ingiltere,64
ver,64
çıkar,64
geçmiş,64
